"","AE","SE"
"cropland1",85.8888888888889,7376.9012345679
"cropland2",71.8888888888889,5168.01234567901
"cropland3",88.8888888888889,7901.23456790123
"cropland4",86.8888888888889,7549.67901234568
"cropland5",3.88888888888889,15.1234567901235
"cropland6",79.8888888888889,6382.23456790123
"cropland7",88.8888888888889,7901.23456790123
"cropland8",88.8888888888889,7901.23456790123
"cropland9",88.8888888888889,7901.23456790123
"cropland10",88.8888888888889,7901.23456790123
"cropland11",9.11111111111111,83.0123456790123
"cropland12",87.8888888888889,7724.45679012346
"cropland13",0.888888888888889,0.790123456790124
"cropland14",77.8888888888889,6066.67901234568
"cropland15",87.8888888888889,7724.45679012346
"cropland16",72.8888888888889,5312.79012345679
"cropland17",84.8888888888889,7206.12345679012
"cropland18",79.8888888888889,6382.23456790123
"cropland19",28.8888888888889,834.567901234568
"cropland20",88.8888888888889,7901.23456790123
"cropland21",83.8888888888889,7037.34567901235
"cropland22",88.8888888888889,7901.23456790123
"cropland23",88.8888888888889,7901.23456790123
"cropland24",88.8888888888889,7901.23456790123
"cropland25",79.8888888888889,6382.23456790123
"cropland26",88.8888888888889,7901.23456790123
"cropland27",87.8888888888889,7724.45679012346
"cropland28",84.8888888888889,7206.12345679012
"cropland29",88.8888888888889,7901.23456790123
"cropland30",88.8888888888889,7901.23456790123
"cropland31",33.8888888888889,1148.45679012346
"cropland32",88.8888888888889,7901.23456790123
"cropland33",11.1111111111111,123.456790123457
"cropland34",88.8888888888889,7901.23456790123
"cropland35",79.8888888888889,6382.23456790123
"cropland36",60.8888888888889,3707.45679012346
"cropland37",77.8888888888889,6066.67901234568
"cropland38",88.8888888888889,7901.23456790123
"cropland39",54.8888888888889,3012.79012345679
"cropland40",88.8888888888889,7901.23456790123
"cropland41",11.1111111111111,123.456790123457
"cropland42",6.11111111111111,37.3456790123457
"cropland43",11.1111111111111,123.456790123457
"cropland44",11.1111111111111,123.456790123457
"cropland45",11.1111111111111,123.456790123457
"cropland46",76.8888888888889,5911.9012345679
"cropland47",11.1111111111111,123.456790123457
"cropland48",11.1111111111111,123.456790123457
"cropland49",11.1111111111111,123.456790123457
"cropland50",11.1111111111111,123.456790123457
"cropland51",11.1111111111111,123.456790123457
"cropland52",11.1111111111111,123.456790123457
"cropland53",71.8888888888889,5168.01234567901
"cropland54",11.1111111111111,123.456790123457
"cropland55",11.1111111111111,123.456790123457
"cropland56",11.1111111111111,123.456790123457
"cropland57",11.1111111111111,123.456790123457
"cropland58",11.1111111111111,123.456790123457
"cropland59",11.1111111111111,123.456790123457
"cropland60",11.1111111111111,123.456790123457
"cropland61",8.88888888888889,79.0123456790124
"cropland62",11.1111111111111,123.456790123457
"cropland63",11.1111111111111,123.456790123457
"cropland64",11.1111111111111,123.456790123457
"cropland65",11.1111111111111,123.456790123457
"cropland66",11.8888888888889,141.345679012346
"cropland67",11.1111111111111,123.456790123457
"cropland68",11.1111111111111,123.456790123457
"cropland69",11.1111111111111,123.456790123457
"cropland70",11.1111111111111,123.456790123457
"cropland71",11.1111111111111,123.456790123457
"cropland72",11.1111111111111,123.456790123457
"cropland73",11.1111111111111,123.456790123457
"cropland74",11.1111111111111,123.456790123457
"cropland75",11.1111111111111,123.456790123457
"cropland76",6.88888888888889,47.4567901234568
"cropland77",11.1111111111111,123.456790123457
"cropland78",11.1111111111111,123.456790123457
"cropland79",11.1111111111111,123.456790123457
"cropland80",87.8888888888889,7724.45679012346
"cropland81",11.1111111111111,123.456790123457
"cropland82",11.1111111111111,123.456790123457
"cropland83",11.1111111111111,123.456790123457
"cropland84",11.1111111111111,123.456790123457
"cropland85",11.1111111111111,123.456790123457
"cropland86",11.1111111111111,123.456790123457
"cropland87",11.1111111111111,123.456790123457
"cropland88",11.1111111111111,123.456790123457
"cropland89",11.1111111111111,123.456790123457
"cropland90",11.1111111111111,123.456790123457
"cropland91",11.1111111111111,123.456790123457
"cropland92",11.1111111111111,123.456790123457
"cropland93",11.1111111111111,123.456790123457
"cropland94",11.1111111111111,123.456790123457
"cropland95",11.1111111111111,123.456790123457
"cropland96",11.1111111111111,123.456790123457
"cropland97",11.1111111111111,123.456790123457
"cropland98",11.1111111111111,123.456790123457
"cropland99",11.1111111111111,123.456790123457
"cropland100",11.1111111111111,123.456790123457
"cropland101",11.1111111111111,123.456790123457
"cropland102",11.1111111111111,123.456790123457
"cropland103",11.1111111111111,123.456790123457
"cropland104",11.1111111111111,123.456790123457
"cropland105",11.1111111111111,123.456790123457
"cropland106",11.1111111111111,123.456790123457
"cropland107",11.1111111111111,123.456790123457
"cropland108",9.11111111111111,83.0123456790123
"cropland109",11.1111111111111,123.456790123457
"cropland110",11.1111111111111,123.456790123457
"cropland111",11.1111111111111,123.456790123457
"cropland112",11.1111111111111,123.456790123457
"cropland113",11.1111111111111,123.456790123457
"cropland114",11.1111111111111,123.456790123457
"cropland115",11.1111111111111,123.456790123457
"cropland116",11.1111111111111,123.456790123457
"cropland117",11.1111111111111,123.456790123457
"cropland118",11.1111111111111,123.456790123457
"cropland119",11.1111111111111,123.456790123457
"cropland120",11.1111111111111,123.456790123457
"cropland121",11.1111111111111,123.456790123457
"cropland122",11.1111111111111,123.456790123457
