"","AE","SE"
"cropland1",52.7204163595174,2779.44230112087
"cropland2",62.2193141428043,3871.24305240096
"cropland3",27.0188403618799,730.01773450075
"cropland4",64.0336592114957,4100.30951201397
"cropland5",83.0870707647207,6903.4613282617
"cropland6",76.8265132065325,5902.31313147351
"cropland7",11.1759866324728,124.902677209212
"cropland8",51.1208387269157,2613.34015214332
"cropland9",95.3879012481285,9098.85170452272
"cropland10",62.6009797426362,3918.88266473795
"cropland11",28.1473571426219,792.273714114306
"cropland12",45.8949688607806,2106.34816673202
"cropland13",2.07230335115256,4.29444117919815
"cropland14",14.0947785957128,198.662783662164
"cropland15",6.61694447393566,43.7839541711477
"cropland16",0.573221599417152,0.328583002038357
"cropland17",33.9759460919256,1154.36491284143
"cropland18",0.653545251006666,0.427121395113366
"cropland19",3.77027053529381,14.2149399093047
"cropland20",2.98175336460804,8.89085312735137
"cropland21",8.45423214799988,71.4740412122747
"cropland22",5.80035335617072,33.6440990564409
"cropland23",7.73241218631533,59.7901982190779
"cropland24",16.263891418822,264.514164083233
"cropland25",0.522697587987837,0.273212768488303
"cropland26",88.76918763943,7879.96867416434
"cropland27",35.8048418333878,1281.98669871392
"cropland28",27.323563978326,746.577148477676
"cropland29",16.3614690301218,267.697668823636
"cropland30",0.905657888102403,0.820216210282104
"cropland31",18.6276358557035,346.988817572692
"cropland32",4.24395176201618,18.0111265583203
"cropland33",8.05611185611794,64.900938238284
"cropland34",24.3094908417928,590.951344987209
"cropland35",10.8712035872151,118.183067434678
"cropland36",2.89638573668551,8.38905033567524
"cropland37",0.173229975682851,0.030008624475081
"cropland38",1.38293959641317,1.91252192732743
"cropland39",1.50144522349571,2.25433775915808
"cropland40",16.0952121038653,259.055852668413
"cropland41",43.8536385603337,1923.14161498039
"cropland42",9.59424806060642,92.04959584845
"cropland43",39.8604137855863,1588.85258715816
"cropland44",7.58151457540621,57.4793632570969
"cropland45",0.930162134068128,0.865201595654174
"cropland46",14.9086068025519,222.266556793098
"cropland47",16.2610078277886,264.420375575404
"cropland48",34.5732897356596,1195.31236314586
"cropland49",35.3432570960477,1249.14582215732
"cropland50",13.0600541288873,170.565013849466
"cropland51",4.81827261922757,23.2157510331981
"cropland52",9.93269065570166,98.658343661863
"cropland53",25.8373877290481,667.570604661167
"cropland54",1.58913583198572,2.52535269250094
"cropland55",5.1462760165274,26.4841568382852
"cropland56",2.97730655046719,8.86435429545482
"cropland57",3.73202689097943,13.9280247149936
"cropland58",2.1285011025453,4.53051694353655
"cropland59",2.20282339020814,4.85243088844806
"cropland60",1.30281817806745,1.69733520510298
"cropland61",3.15097516527584,9.92864449218508
"cropland62",1.54348396304506,2.38234274417729
"cropland63",1.06947086041203,1.14376792127046
"cropland64",2.76749291129299,7.65901701405696
"cropland65",0.280642500576583,0.0787602131298775
"cropland66",10.841139855308,117.530313362347
"cropland67",0.119088419689747,0.0141820517042013
"cropland68",63.8642246903998,4078.63919530588
"cropland69",1.73530940302424,3.01129872422433
"cropland70",1.01217580349035,1.02449985717134
"cropland71",0.603625327744147,0.364363536294229
"cropland72",7.04566079587054,49.6413360504671
"cropland73",0.255481114386196,0.0652705998080127
"cropland74",0.421723708388591,0.177850886217025
"cropland75",1.44273141576718,2.08147393804156
"cropland76",2.88439529601848,8.31973622369354
"cropland77",0.1221066272131,0.0149100284093589
"cropland78",0.247873081082149,0.0614410643251575
"cropland79",0.200007326661854,0.0400029307184217
"cropland80",1.06119861836061,1.12614250761047
"cropland81",0.948492987407735,0.899638947161649
"cropland82",12.5094186640811,156.485555313261
"cropland83",0.901899131991033,0.813422044286179
"cropland84",0.0974735883185455,0.00950110041969329
"cropland85",20.8144413522397,433.240968805827
"cropland86",0.801818456018381,0.642912836411701
"cropland87",1.48122212714691,2.1940189899496
"cropland88",7.75819115874612,60.1895300556464
"cropland89",0.401083913850878,0.160868305949938
"cropland90",0.431679896902095,0.186347533389404
"cropland91",0.175075229894123,0.03065133612248
"cropland92",1.32758130537526,1.76247212238188
"cropland93",0.728718504786223,0.531030659217869
"cropland94",1.328581675353,1.7651292680838
"cropland95",4.91465149120573,24.1537992800107
"cropland96",0.747024515288048,0.558045626441343
"cropland97",13.3092362347398,177.135769152112
"cropland98",0.625942493193265,0.391804004785001
"cropland99",0.778456691671341,0.605994820807889
"cropland100",0.848991309452956,0.720786243526644
"cropland101",10.5250462205816,110.776597945379
"cropland102",1.99666064028593,3.98665371246701
"cropland103",4.59085187907305,21.0759209755885
"cropland104",4.27153162219347,18.2459823993988
"cropland105",4.08850871827086,16.7159035393768
"cropland106",7.81342385415823,61.0495923247288
"cropland107",13.4369742487423,180.552276961365
"cropland108",8.42268723087359,70.9416601891211
"cropland109",18.1800423889662,330.513941264608
"cropland110",0.896194007392813,0.803163698886789
"cropland111",3.45340516201656,11.9260072130426
"cropland112",12.8960629230445,166.308438915122
"cropland113",2.50660557888036,6.28307152807416
"cropland114",0.840888482469855,0.707093439950455
"cropland115",4.0442359808559,16.3558446688495
"cropland116",0.77818606564269,0.605573552760449
"cropland117",2.1050199454749,4.43110897084715
"cropland118",18.2557389758365,333.272005553875
"cropland119",36.5976773486581,1339.38998731648
"cropland120",1.47004272907015,2.161025625292
"cropland121",68.7326155331905,4724.17243803339
"cropland122",94.1002134838685,8854.85017770963
"cropland123",29.6727429879904,880.471676431336
"cropland124",57.2134433364297,3273.37809841086
"cropland125",49.2122754907653,2421.84805897898
"cropland126",15.367435987342,236.158088825053
"cropland127",69.6911274647238,4856.85324730438
"cropland128",50.9013940331355,2590.95191451652
"cropland129",3.27989955642131,10.7577411002127
"cropland130",49.1612545820325,2416.82895207941
"cropland131",79.8869335679719,6381.92215489355
