"","AE","SE"
"cropland1",69.8971500282626,4885.61158207346
"cropland2",54.3446867072797,2953.34497331238
"cropland3",75.8674132248864,5755.86438943567
"cropland4",78.8305520911047,6214.25594298836
"cropland5",20.970675548069,439.769232942377
"cropland6",73.1760589990513,5354.73561063264
"cropland7",59.5072848528908,3541.11695056308
"cropland8",66.5002563969192,4422.28410085599
"cropland9",64.9830635729533,4222.79855132649
"cropland10",69.1291607145,4778.84086109117
"cropland11",74.1402552111667,5496.77744277694
"cropland12",66.0005113839199,4356.06750293894
"cropland13",62.8977748109301,3956.13007616648
"cropland14",80.5094544195832,6481.77225093895
"cropland15",64.9175037186759,4214.2822890643
"cropland16",66.9190107504971,4478.15399982515
"cropland17",2.96297675139917,8.77923122933196
"cropland18",8.22108348478059,67.5862136637321
"cropland19",17.1641238737288,294.607148352708
"cropland20",0,0
"cropland21",8.07861628372153,65.2640410596107
"cropland22",0,0
"cropland23",18.0213746361488,324.769943776429
"cropland24",15.7443056964402,247.883161862961
"cropland25",20.9644868080154,439.509707123452
"cropland26",6.10628679897308,37.2867384713129
"cropland27",7.48898332866798,56.0848712970669
"cropland28",4.61960185795914,21.3407213260595
"cropland29",5.16768337810186,26.7049514963102
"cropland30",16.3156044313613,266.198947960656
"cropland31",7.92640298665266,62.8278643068162
"cropland32",9.48003208777739,89.8710083852889
"cropland33",0,0
"cropland34",0.795016130522705,0.632050647791295
"cropland35",7.26805941642985,52.8246876807546
"cropland36",2.61664667674849,6.8468398309389
"cropland37",13.3600522760736,178.490996819419
"cropland38",0,0
"cropland39",9.09966312771623,82.8038690379183
"cropland40",5.67822448723457,32.2422333274303
"cropland41",3.53189486330959,12.4742813254727
"cropland42",16.1498872912738,260.818859520848
"cropland43",3.28973688298954,10.8223687593017
"cropland44",9.2641455073958,85.8243919822019
"cropland45",4.58456192445767,21.018208039187
"cropland46",6.63190606481921,43.9821780525858
"cropland47",5.80940674909087,33.7492067763826
"cropland48",0,0
"cropland49",1.93798409664427,3.75578235884609
"cropland50",9.72157435862033,94.5090080101844
"cropland51",13.6230846274518,185.588434766714
"cropland52",16.0293132161256,256.938882180658
"cropland53",0,0
"cropland54",10.8097967713594,116.851706238092
"cropland55",0,0
"cropland56",9.70693630549046,94.2246124388488
"cropland57",16.3153196551799,266.189655450699
"cropland58",9.14435601305239,83.6192468934474
"cropland59",3.36817188801358,11.3445818672049
"cropland60",2.85789167670642,8.16754483578782
"cropland61",68.609135139027,4707.21342452527
"cropland62",9.194516190585,84.5391279789297
"cropland63",8.58348483303747,73.6762118789842
"cropland64",3.64020532156364,13.2510947831402
"cropland65",10.4208091960093,108.593264299633
"cropland66",7.29438960879787,53.2081197649384
"cropland67",3.68841057718262,13.6043725858726
"cropland68",9.24847439520068,85.5342786386826
"cropland69",1.56537335818529,2.45039375051629
"cropland70",0.67862792752632,0.460535864018669
"cropland71",1.2227232484137,1.49505214221135
"cropland72",0.132878777789626,0.0176567695868649
"cropland73",2.58974068245309,6.70675680235262
"cropland74",0.60765616276033,0.369246012140609
"cropland75",11.9194693930807,142.073750612587
"cropland76",13.3713441824886,178.792845246572
"cropland77",6.81700752620343,46.4715916123142
"cropland78",10.0973435696008,101.956347162558
"cropland79",15.8841467781062,252.306118868421
"cropland80",4.11103238558917,16.9005872753629
"cropland81",2.20589506828604,4.86597305228869
"cropland82",14.8573316373924,220.74030338346
"cropland83",4.21044254460373,17.7278264214091
"cropland84",8.56126664932072,73.2952866407713
"cropland85",6.62282138138147,43.8617630496835
"cropland86",0,0
"cropland87",3.39036728862909,11.4945903518062
"cropland88",7.90649508372917,62.5126645090335
"cropland89",0,0
"cropland90",8.99077231819106,80.8339868775506
"cropland91",8.18037315653722,66.9185049801948
"cropland92",2.9561575015373,8.73886717389526
"cropland93",8.47616901424654,71.8454411580731
"cropland94",6.83222921459555,46.679356040773
"cropland95",6.48792245293768,42.0931377553329
"cropland96",12.0740198586781,145.781955547754
"cropland97",4.1040304605331,16.8430660209836
"cropland98",0,0
"cropland99",9.25970078488934,85.7420586256803
"cropland100",4.70432101818144,22.1306362421037
"cropland101",5.23511971648324,27.4064784459116
"cropland102",7.18085842255634,51.5647276847984
"cropland103",8.33238217452441,69.4285927023321
"cropland104",1.25669563080227,1.57928390847752
"cropland105",4.90258841242311,24.0353731416254
"cropland106",11.9163922082397,142.000403260595
"cropland107",5.06971155785753,25.7019752798743
"cropland108",4.33211453326362,18.7672163293139
"cropland109",10.4110207896633,108.389353882801
"cropland110",6.06131032729539,36.7394828837777
"cropland111",6.74276486812216,45.4648780667824
"cropland112",5.93227905562676,35.1919347938279
"cropland113",8.49687792082269,72.1969344013642
"cropland114",1.81481955362969,3.29357001223667
"cropland115",3.34377687443823,11.1808437860279
"cropland116",1.90622102788175,3.63367860713855
"cropland117",6.37471295491292,40.6369652575347
"cropland118",1.68884453798271,2.85219587347403
"cropland119",3.26827529708424,10.6816234175311
"cropland120",7.16262398263969,51.3031823166853
"cropland121",35.8519477298316,1285.36215602258
"cropland122",87.2739146064198,7616.73617072865
"cropland123",4.76844005236489,22.7380205329977
"cropland124",38.5491440278846,1486.03650528259
"cropland125",39.3482378594315,1548.2838226424
"cropland126",52.4549740173481,2751.52429916067
"cropland127",48.77194664526,2378.70277956809
"cropland128",54.5427382510398,2974.91029592144
"cropland129",66,4356
"cropland130",68.0654830827276,4632.90998728507
"cropland131",11.2425003710857,126.393814593862
"cropland132",8.58143696625833,73.6410604058649
"cropland133",6.94647676458851,48.2535394409681
"cropland134",6.15796075629815,37.9204806761081
"cropland135",6.39549098155906,40.9023048952033
"cropland136",1.51264326562307,2.28808964903483
"cropland137",4.49540316552004,20.2086496205676
"cropland138",5.71932157035826,32.7106392251652
"cropland139",3.76112966536834,14.1460963597138
"cropland140",15.9278553291296,253.696575385683
"cropland141",6.63413426755967,44.0117374800095
"cropland142",22.4598094988844,504.443042726177
"cropland143",6.17248560078423,38.0995784918886
"cropland144",4.08201638444716,16.6628577628951
"cropland145",5.03209774751421,25.3220077405376
"cropland146",8.69002853840861,75.5165959983561
"cropland147",0.34094114260568,0.116240862721267
"cropland148",0.377547599660964,0.142542190009756
"cropland149",0,0
"cropland150",6.8049693755247,46.307608201829
"cropland151",6.21964216427783,38.6839486516626
"cropland152",3.55583224390099,12.6439429467659
"cropland153",17.1100887619117,292.755137440498
"cropland154",6.30867891863357,39.7994296984117
"cropland155",1.40534039865279,1.97498163608559
"cropland156",1.17234394778027,1.37439033189702
"cropland157",87.0177606710982,7572.09067221252
"cropland158",6.98891199164109,48.8448908269046
"cropland159",4.00268493532462,16.0214866914746
"cropland160",0,0
"cropland161",57.8740057823272,3349.40054529284
"cropland162",64.5035633011525,4160.70967854579
"cropland163",8.96817473267647,80.4281580358167
"cropland164",21.7378874861748,472.535752361597
"cropland165",5.81942948487029,33.8657595293777
"cropland166",5.97006091161406,35.6416272883821
"cropland167",1.63365397749909,2.66882531819858
"cropland168",14.7413778732309,217.308221601382
"cropland169",5.74271356190206,32.9787590540539
"cropland170",6.23006355243845,38.813691867422
"cropland171",2.39595630795031,5.74060662960689
"cropland172",9.8677501173585,97.3724923786286
"cropland173",5.31419893704802,28.2407103425223
"cropland174",0,0
"cropland175",8.09104335155918,65.4649825168101
"cropland176",16.9671496261154,287.884166434988
"cropland177",7.13910568560607,50.9668299902529
"cropland178",32.1665889555742,1034.68944503687
"cropland179",0,0
"cropland180",7.92100609662507,62.7423375827715
"cropland181",6.77656425071384,45.9218230440529
"cropland182",0,0
"cropland183",10.0043826959658,100.087673127339
"cropland184",7.53253330053792,56.7390579237127
"cropland185",3.09139907580469,9.55674824588607
"cropland186",27.9507335747928,781.243507369048
"cropland187",11.5192141168488,132.692293869808
"cropland188",9.49316287019481,90.1201412800454
"cropland189",15.5095117911789,240.544956000718
"cropland190",15.6692013943987,245.523872338225
"cropland191",0,0
"cropland192",3.72211778780077,13.8541608262629
"cropland193",2.80010634680095,7.84059555339497
"cropland194",4.20054200124985,17.6445531042641
"cropland195",6.59111223073422,43.4427604381343
"cropland196",3.47874410307978,12.1016605347124
"cropland197",4.9619820014755,24.6212653829668
"cropland198",1.99993274575367,3.99973098753783
"cropland199",9.35361210131958,87.4900593419522
"cropland200",3.96952188633135,15.7571040060636
"cropland201",17.3609058003282,301.401050207869
"cropland202",3.2476442740255,10.5471933306106
"cropland203",25.3642725556896,643.34632227931
"cropland204",16.2582591508868,264.330990617394
"cropland205",24.7876229519873,614.426251609889
"cropland206",9.61523817817644,92.4528052230618
"cropland207",14.2494280929931,203.046200977382
"cropland208",3.09484814318099,9.57808502935082
"cropland209",9.71543985350085,94.3897715469925
"cropland210",8.03610198195767,64.578935064424
"cropland211",0.311202896451207,0.0968472427596207
"cropland212",0,0
"cropland213",8.99814805380591,80.966668398211
"cropland214",4.69568724753379,22.0494787266515
"cropland215",3.21233707341256,10.3191094732208
"cropland216",8.21229966216116,67.4418657411323
"cropland217",9.51312869142523,90.4996174996179
"cropland218",12.6930449744431,161.113390723236
"cropland219",7.20729700871604,51.9451301718472
"cropland220",0,0
"cropland221",5.62923953629737,31.6883377570134
"cropland222",19.5668216669376,382.860510145737
"cropland223",12.0026423682538,144.063423820201
"cropland224",9.99852768107027,99.9705557891284
"cropland225",0,0
"cropland226",0.280332107888609,0.0785860907132707
"cropland227",6.39242817122432,40.8631379242623
"cropland228",2.9366072341515,8.6236620476709
"cropland229",9.92202890039779,98.446657500329
"cropland230",8.87427779747098,78.7528064266863
"cropland231",13.4283482302933,180.320536194022
"cropland232",5.80973403591661,33.7530095680879
"cropland233",5.21517269715,27.1980262610988
"cropland234",14.9979213076758,224.937643551237
"cropland235",0,0
"cropland236",3.95715109702384,15.659044804677
"cropland237",10.5590150973923,111.492799826957
"cropland238",13.8299245392961,191.266812762625
"cropland239",34.68656358067,1203.15769303586
"cropland240",5.1592191268956,26.6175419993254
"cropland241",42.5025123924368,1806.46355966925
"cropland242",62.3061478405218,3882.05605872496
"cropland243",12.5902717091084,158.514941709176
"cropland244",43.0836678188181,1856.20243272226
"cropland245",88.6633553483647,7861.19058163038
"cropland246",63.5833202800618,4042.83861783691
"cropland247",57.1111175304074,3261.67974557201
"cropland248",0,0
"cropland249",12.9719683310622,168.27196238208
"cropland250",6.18708084494604,38.2799693818982
"cropland251",4.73078007518978,22.3802801198127
"cropland252",31.6888127204477,1004.18085163161
"cropland253",0,0
"cropland254",7.143084849311,51.0236611644564
"cropland255",2.77235833840923,7.68597075654718
"cropland256",15.8143844716593,250.094756217459
"cropland257",40.5123984256231,1641.25442619643
"cropland258",0.623756284302853,0.389071902207302
"cropland259",1.42082696231745,2.01874925684823
"cropland260",0,0
"cropland261",14.1088311024976,199.059115078803
"cropland262",86.1620897847211,7423.90571607033
"cropland263",56.5897004598761,3202.3941981385
"cropland264",2.51729286727745,6.3367633796459
"cropland265",8.70593837567828,75.7933630011077
"cropland266",19.240277246282,370.188268513799
"cropland267",13.8276899233776,191.205008617078
"cropland268",7.89293114075031,62.298361992626
"cropland269",6.02967700897628,36.3570048325771
"cropland270",17.3374848464295,300.588380800172
"cropland271",31.7920969409392,1010.73742790207
"cropland272",0.88817422606499,0.788853455846144
"cropland273",5.83748601803175,34.0762430107162
"cropland274",8.71083813775143,75.8787010621048
"cropland275",0.470514371164246,0.221383773472086
"cropland276",4.40458522081003,19.4003709673781
"cropland277",22.5709832441893,509.449284609476
"cropland278",63.6126593520035,4046.57042983404
"cropland279",4.75323194964285,22.5932139671056
"cropland280",7.08998812374316,50.2679315948191
"cropland281",67.5538952520675,4563.52876372731
"cropland282",11.199341056572,125.425240101419
"cropland283",10.7715499163845,116.026287601162
"cropland284",9.8229067990409,96.4894979826439
"cropland285",9.01660339473835,81.2991367780071
"cropland286",43.5241998683794,1894.35597418264
"cropland287",2.86719269713675,8.22079396251432
"cropland288",29.2757688834985,857.070643720016
"cropland289",13.9112977530941,193.524205175241
"cropland290",11.1485781531055,124.2907948359
"cropland291",0,0
"cropland292",24.3026210161594,590.617388255075
"cropland293",9.88456411168544,97.7046076780198
"cropland294",0,0
"cropland295",0,0
"cropland296",27.7753944272613,771.472535589937
"cropland297",11.0554713481478,122.223446729716
"cropland298",6.99341655406032,48.9078750986049
"cropland299",11.0137150836272,121.301919943316
"cropland300",7.1755381038604,51.4883470799524
"cropland301",0,0
"cropland302",12.8679852546288,165.585044513345
"cropland303",4.20284582313892,17.6639130130763
"cropland304",9.59037226887811,91.9752402556662
"cropland305",5.75590478306424,33.1304398717018
"cropland306",2.6756806265599,7.15926681534795
"cropland307",4.26584422571397,18.1974269580572
"cropland308",16.4981892836701,272.190249639808
"cropland309",14.6197886934235,213.738221440354
"cropland310",13.6027312586233,185.034297694326
"cropland311",9.43608057229017,89.039616566752
"cropland312",29.7008897993416,882.142854872636
"cropland313",10.3119960229206,106.337261976731
"cropland314",2.9089003402971,8.46170118978057
"cropland315",0,0
"cropland316",13.9406878540569,194.342777844248
"cropland317",9.32544545820623,86.9639329939792
"cropland318",56.0234382682978,3138.62563540178
"cropland319",0.26594778598613,0.0707282248709242
"cropland320",5.79817320130273,33.6188124723051
"cropland321",7.0122308789011,49.1713818990141
"cropland322",1.60791845202835,2.58540174837326
"cropland323",4.48233239904655,20.0913037355424
"cropland324",1.8376415214692,3.37692636142765
"cropland325",0.869126686955469,0.75538119797819
"cropland326",3.05322731287892,9.32219702410985
"cropland327",5.14982552094048,26.5207028961299
"cropland328",1.15609454291985,1.33655459216905
"cropland329",1.62606728771035,2.6440948241617
"cropland330",2.12511555962608,4.51611614176489
"cropland331",20.5720918275248,423.210962160112
"cropland332",9.31607818965159,86.789312835702
"cropland333",0.996181364748616,0.992377311472414
"cropland334",7.34811807870334,53.9948392985668
"cropland335",0,0
"cropland336",0,0
"cropland337",22.4829708588198,505.483978638539
"cropland338",4.4452149609398,19.759936048963
"cropland339",0,0
"cropland340",0,0
"cropland341",27.4282514608808,752.308978201311
"cropland342",5.08426533001284,25.8497539459706
"cropland343",14.1775491582828,201.002900135526
"cropland344",22.0953231183268,488.203303703269
"cropland345",8.48319586129583,71.9646120211067
"cropland346",1.67625127621204,2.80981834100248
"cropland347",8.30242589534814,68.9302757477474
"cropland348",4.01251465099457,16.1002738244461
"cropland349",29.1671547272595,850.722914883895
"cropland350",22.4367168757569,503.406264162873
"cropland351",32.3209271116491,1044.64232935653
"cropland352",0,0
"cropland353",6.21136754563722,38.5810867869954
"cropland354",0.112133862137687,0.0125740030379137
"cropland355",31.2007688172505,973.487974787511
"cropland356",9.51122807798611,90.4634595514713
"cropland357",17.72211275125,314.073280368017
"cropland358",8.60673048640391,74.0758096655944
"cropland359",15.1950340155406,230.889058733437
"cropland360",7.84067225344438,61.4761413859325
"cropland361",74.1667321108341,5500.70415200022
"cropland362",44.8164353930204,2008.51288133677
"cropland363",63.4799485513913,4029.70386808729
"cropland364",60.2377982181915,3628.59233417556
"cropland365",44.4685027660746,1977.44773825638
"cropland366",49.43620910943,2443.93877111129
"cropland367",18.0766473264472,326.765178564749
"cropland368",25.1074666852219,630.384883349529
"cropland369",6.16211448351586,37.9716549079559
"cropland370",2.15220924497929,4.63200463417435
"cropland371",5.04440871159994,25.4460592496654
"cropland372",66.6138471640563,4437.40463399626
"cropland373",4.72375709315978,22.3138810751774
"cropland374",10.0842136796627,101.691365537097
"cropland375",10.2221235883466,104.491810655433
"cropland376",11.6471257561556,135.655538379704
"cropland377",0.777557664898227,0.604595922241984
"cropland378",40.7466942992272,1660.29309631468
"cropland379",16.7562614604669,280.77229813153
"cropland380",10.7220946305724,114.963313266949
"cropland381",10.2327128961335,104.708413214696
"cropland382",12.8856401906925,166.03972312399
"cropland383",13.4092626901542,179.80832589356
"cropland384",9.4318277312392,88.9593743517728
"cropland385",5.28064652567106,27.8852277290819
"cropland386",1.30576887111957,1.70503234478488
"cropland387",51.3197864661898,2633.72048293532
"cropland388",0,0
"cropland389",77.2428855034944,5966.46336090595
"cropland390",13.4507279998994,180.922083727278
"cropland391",9.13343466263449,83.4196287366132
"cropland392",16.9799524566289,288.318785429376
"cropland393",7.06299018770181,49.885830391572
"cropland394",9.38136130552581,88.0099399448169
"cropland395",8.55983614006081,73.2707947446912
"cropland396",4.33025273559569,18.751088754134
"cropland397",14.2751257801407,203.779216038836
"cropland398",6.46759472637778,41.8297815446697
"cropland399",6.97655163030712,48.6722726503409
"cropland400",8.68103340186463,75.3603409242894
"cropland401",18.7592049780002,351.907771406626
"cropland402",16.6290081081257,276.523910660109
"cropland403",8.37313284565826,70.1093536510411
"cropland404",15.2819482213065,233.537941438694
"cropland405",10.3064239939833,106.222375543755
"cropland406",5.54245096168513,30.7187626626845
"cropland407",0,0
"cropland408",6.42907089772905,41.3329526080266
"cropland409",5.20836655644632,27.1270821863085
"cropland410",88.5761259654749,7845.73009105167
"cropland411",0,0
"cropland412",10.2382992595751,104.822771728615
"cropland413",0,0
"cropland414",28.3500533403312,803.725524399621
"cropland415",0.0179081264802406,0.000320700994032293
"cropland416",0,0
"cropland417",34.5567619329231,1194.16979528872
"cropland418",18.0690712795602,326.491336905827
"cropland419",4.86006344544669,23.6202166937671
"cropland420",0,0
"cropland421",0,0
"cropland422",10.6605993823012,113.64837918992
"cropland423",2.87387150296965,8.25913741558106
"cropland424",13.3328278500721,177.764298479657
"cropland425",2.93967150976156,8.64166858530381
"cropland426",11.0239093540553,121.526577446427
"cropland427",10.8805076675344,118.385447103274
"cropland428",1.24771293927301,1.55678757882929
"cropland429",3.97767320711688,15.8218841426155
"cropland430",2.98504239555852,8.91047810328172
"cropland431",0.945921539270752,0.89476755845635
"cropland432",1.46132549811105,2.13547221142952
"cropland433",1.96086527599778,3.84499263061387
"cropland434",3.84912681630428,14.8157772479927
"cropland435",2.89197492846609,8.36351898687642
"cropland436",1.82832686153384,3.34277911260619
"cropland437",4.05946249068138,16.4792357132491
"cropland438",10.6678984290343,113.804056892193
"cropland439",11.2874760295947,127.407115118676
"cropland440",8.88088924474479,78.8701937774238
"cropland441",18.0745131729715,326.688026439919
"cropland442",3.24289994014822,10.5164000218133
"cropland443",10.6395867685589,113.200806605693
"cropland444",4.78287845485617,22.8759263139274
"cropland445",4.60764867616771,21.23042632299
"cropland446",5.79438510687054,33.5748987667231
"cropland447",2.38601837829634,5.6930837015679
"cropland448",7.44972969685063,55.4984725561382
"cropland449",6.09860412577396,37.1929722829071
"cropland450",2.87003075609127,8.23707654090985
"cropland451",0.956216004231421,0.914349046748304
"cropland452",6.12527419243062,37.5189839324566
