"","AE","SE"
"cropland1",51.856556750011,2689.10247796711
"cropland2",61.4041092642433,3770.46463453513
"cropland3",84.1662406502672,7083.95606519869
"cropland4",82.1395143377489,6746.89981564126
"cropland5",25.1702325194926,633.540605085324
"cropland6",77.1488165780346,5951.93989939123
"cropland7",48.3378008054351,2336.54298670593
"cropland8",57.4423638195104,3299.62516117299
"cropland9",60.2046161582988,3624.59580676809
"cropland10",40.0699536108839,1605.60118237839
"cropland11",83.6964475773757,7005.09533707241
"cropland12",78.713511630258,6195.81691316675
"cropland13",67.1884434281408,4514.28693029647
"cropland14",83.6028135687167,6989.43043660559
"cropland15",68.8580893380062,4741.43646728084
"cropland16",69.0088526790253,4762.22174807541
"cropland17",1.98234627324561,3.92969674705075
"cropland18",16.0758229485187,258.432083472119
"cropland19",21.9496882899651,481.788816026632
"cropland20",19.7590919879745,390.421716189236
"cropland21",0,0
"cropland22",11.2374177636827,126.279557995532
"cropland23",10.0920411420329,101.849294412484
"cropland24",15.7810405349145,249.041240364616
"cropland25",15.4799536313861,239.628964429862
"cropland26",0,0
"cropland27",7.60824488122155,57.8853901726339
"cropland28",12.6076898089619,158.953842319002
"cropland29",7.13518555564995,50.9108729135557
"cropland30",56.0423070587869,3140.74018047136
"cropland31",5.15487469633384,26.5727331349029
"cropland32",12.9571269095512,167.887137750215
"cropland33",0,0
"cropland34",6.34266807026475,40.2294382495559
"cropland35",10.5568919822281,111.447968324432
"cropland36",1.80397111237126,3.25431177427001
"cropland37",19.2659135386787,371.175424479844
"cropland38",1.56089015899059,2.43637808843366
"cropland39",16.8894109907662,285.252203615014
"cropland40",1.50685555858757,2.27061367444625
"cropland41",1.35082396643719,1.82472538830109
"cropland42",8.71641873990529,75.9759556493721
"cropland43",5.06019498000071,25.6055732356244
"cropland44",11.6388059696063,135.461804398144
"cropland45",0,0
"cropland46",1.80836548755785,3.27018573659036
"cropland47",8.79444327540019,77.3422325242315
"cropland48",7.15372143599117,51.1757303837595
"cropland49",0,0
"cropland50",6.41160491447479,41.1086775793173
"cropland51",10.615983335553,112.699102180739
"cropland52",14.6072489444352,213.371721724702
"cropland53",5.49172733287278,30.1590690986219
"cropland54",13.1081863706622,171.824549928014
"cropland55",16.6077358184953,275.816889016932
"cropland56",3.15034019023488,9.92464331420915
"cropland57",8.7840171987694,77.1589581482766
"cropland58",0.799885999903617,0.639817612841809
"cropland59",7.03728870471516,49.5234323135115
"cropland60",5.63921407164055,31.8007353457888
"cropland61",66.3784127540047,4406.09367974102
"cropland62",15.1895356496033,230.72199325057
"cropland63",4.40281889533067,19.3848142250808
"cropland64",4.17835546183826,17.4586543654736
"cropland65",9.84024381082097,96.8303982564004
"cropland66",0,0
"cropland67",2.23501618267466,4.9952973368176
"cropland68",5.69907077831696,32.4794077362663
"cropland69",5.1447288550149,26.4682349916229
"cropland70",13.1270788128312,172.320198158281
"cropland71",0,0
"cropland72",12.8738154950906,165.735125401634
