"","RMSE","MAE","ME"
"Overall",22.2595566566687,12.6267943851333,1.62447100346908e-19
"cropland",21.980515887205,12.9512697256308,3.28208052555894
"dec.trees",24.5945289042104,14.7954697190901,-4.99822859258364
"evgr.trees",21.9117617340523,12.6634145835973,-2.58255567328336
"shrubland",28.2130274085376,18.1958748620207,3.6644266116486
"grassland",27.3711774057653,20.3704614454882,2.56528943636999
"bare.soil",18.4262849071353,10.1083660163366,4.03310966783017
"wetland",18.6109163983263,9.04210666010614,2.65075878223842
"urban",21.0603104000926,11.1887570960798,-4.50978775978956
"water",14.7188451666556,4.32542935785003,-4.10509299798955
