"","RMSE","MAE","ME"
"Overall",25.3216077437256,11.0938634124007,0.00000000000000000132231568259494
"bare.soil",29.491507567001,14.4347689748282,7.72934122914094
"cropland",24.7931402678933,10.1857213121665,2.45445400940185
"dec.trees",24.1608574613171,10.4892701725157,-6.14217522247793
"evgr.trees",24.7181437683697,11.2119383106618,0.584793605618006
"grassland",29.4235176811775,15.4265398781711,-2.23259869117125
"shrubland",27.0467003036941,12.73162525165,0.181912394574032
"urban",25.6191655651053,11.4375896063912,0.92866448008819
"water",16.9641322430428,4.95760531559038,-0.513723253845181
"wetland",23.4538070244898,8.96971188963178,-2.99066855132865
