"","RMSE","MAE","ME"
"Overall",24.5041751941857,13.3149794472671,-3.97072988383602e-08
"cropland",24.5265919873234,14.090971541951,7.55961790126005
"dec.trees",27.14468138201,15.7654384189411,-4.99970879413954
"evgr.trees",23.3040475803127,12.6148508394513,-2.09587551021025
"shrubland",31.2508856491278,17.7580703868601,2.2017332626538
"grassland",29.1613169167937,19.0931001318924,-5.65096674058508
"bare.soil",18.237809976133,9.05490444630713,-2.55624075984864
"wetland",24.659388791518,13.557014768861,8.5369835378203
"urban",23.4035923355086,12.1823504431909,-1.51118647467595
"water",14.3942273629799,5.71811404794908,-1.48435677964037
