"","RMSE","MAE","ME"
"Overall",22.856504879273,13.5703338959868,0.0000000000000000128843373727296
"cropland",23.247315991796,13.8008914180131,0.763217786196751
"dec.trees",21.3301699207407,13.126097776792,0.45520726766179
"evgr.trees",22.2175562833842,13.610255857715,0.353048638508187
"shrubland",24.5388688120591,14.8213881891891,0.29616965660919
"grassland",23.6854288641643,15.2563809215475,-0.0936396511441362
"bare.soil",23.8617147931053,13.3553825455751,-0.905103612971466
"wetland",25.2027206638827,15.4371176574134,0.0442943564661504
"urban",21.462967128,12.0510887912449,0.266017003463815
"water",19.6053956366351,10.6744019063908,-1.17921144479028
