"","RMSE","MAE","ME"
"Overall",22.1274973827652,12.7344979712565,0.0000000000000000536880853560415
"cropland",24.5690613612495,14.0394104364138,-0.0810195096574054
"dec.trees",21.2417370602428,13.0294595890443,0.501441926071747
"evgr.trees",21.1942783732023,12.4358759679231,-0.337561551186001
"shrubland",24.417602501155,14.9479219384273,0.732793907998328
"grassland",23.7028156819443,15.690080632496,0.533149948615213
"bare.soil",21.0603453150772,10.89287465461,0.264943976041741
"wetland",24.8809975815991,13.8009701388472,-0.574224230057673
"urban",19.7075094387766,10.8792431854057,0.238389851653221
"water",17.133498232015,8.8946451981412,-1.27791431947917
