"","RMSE","MAE","ME"
"Overall",21.1526971909182,12.8202655724173,4.60773103134467e-17
"cropland",21.5607077676956,15.1935828212634,9.28336626301964
"dec.trees",22.9347915932983,13.860727514314,-3.10541682368527
"evgr.trees",20.4782938475562,12.3958675326856,-3.02839698903565
"shrubland",25.0610303889508,16.5311581002518,0.48776468574169
"grassland",24.8664805681167,17.273830905202,-5.30167618155651
"bare.soil",16.8573692522781,8.73357513257058,-2.86678029313508
"wetland",22.0856566543153,15.8406075935176,11.2262357288833
"urban",20.4712143019991,10.860371117471,-4.24819006438783
"water",13.3897438107856,4.69266943448022,-2.44690632584431
