"","RMSE","MAE","ME"
"Overall",25.1997645033965,12.7665942829444,5.67551175789151e-17
"bare.soil",26.4605705395745,13.7577220291697,7.13367988232889
"cropland",20.5165239577729,9.09062277009945,1.75503040574872
"dec.trees",28.8905779377878,16.1529159645188,-3.65877538599676
"evgr.trees",25.5967031604585,13.6722219208122,1.08781057483684
"grassland",31.9107973773499,21.6912173032827,0.225473958079622
"shrubland",29.0665837948072,14.5198354789836,-4.61751618670406
"urban",23.9603070102458,12.5892996482751,-1.62022347282303
"water",15.7207020213634,4.7512651526767,-3.54201702981505
"wetland",20.4915801625337,8.6742482786812,3.23653725434481
