"","RMSE","MAE","ME"
"Overall",22.1494621563454,12.0376601549731,-0.0000000000000000215976711863627
"cropland",25.039160015872,12.1084542904934,-2.94904379234989
"dec.trees",21.0598544029817,10.9603279569588,-2.89320542049179
"evgr.trees",21.537427082678,12.057152104076,0.114222720809721
"shrubland",24.343923052288,15.8194371979442,3.24557889036872
"grassland",24.6616536162054,16.1654642716836,1.94771728823785
"bare.soil",20.2982953214747,11.7170796826471,3.42320459639289
"wetland",23.8917189298292,11.5904909329557,-3.09841645173124
"urban",20.911437977416,11.3905211415779,0.107239453167626
"water",16.1277178762835,6.53001381642162,0.102702715596114
