"","RMSE","MAE","ME"
"Overall",22.9241182746919,15.6173876958191,-3.67701447151144e-17
"cropland",21.7557900301048,15.1078431372549,3.26657329598506
"dec.trees",25.8102177637167,16.5770308123249,-4.78804855275443
"evgr.trees",24.8516179602087,16.4010270774977,-2.50653594771242
"shrubland",25.2368837391047,16.5975723622782,-0.771241830065359
"grassland",25.5662523790972,16.7908496732026,-7.79645191409897
"bare.soil",22.3883519431087,15.5219421101774,0.598506069094304
"wetland",18.6794604571776,13.9724556489262,6.3422035480859
"urban",23.8568271155397,16.6503267973856,-0.88468720821662
"water",16.2083257824678,12.937441643324,6.53968253968254
