"","RMSE","MAE","ME"
"Overall",27.3759435262169,17.6089506172839,-0.000000000000000019269886612309
"cropland",28.4142241265893,18.2280092592593,0.596527777777778
"dec.trees",25.3508817753964,16.3076388888889,-0.120138888888889
"evgr.trees",26.1271035540386,16.8622685185185,0.179861111111111
"shrubland",25.8833312465717,16.7372685185185,1.25069444444444
"grassland",24.8870054470894,16.1891203703704,-1.47013888888889
"bare.soil",26.3718219663936,17.137037037037,0.890277777777778
"wetland",31.5574481044364,20.2097222222222,-1.15555555555556
"urban",24.77800199201,16.5560185185185,1.62777777777778
"water",31.9016440324838,20.2534722222222,-1.79930555555556
