"","RMSE","MAE","ME"
"Overall",21.2069607401841,13.7430341458079,-5.39140985351651e-09
"cropland",19.8197887915166,14.5432297891679,6.90409897768698
"dec.trees",24.7224322056564,15.2436529133751,-4.57648342371989
"evgr.trees",20.9020392333564,13.8625943193666,-1.82455974241265
"shrubland",24.7780539877226,16.9362135702635,1.82194867057084
"grassland",25.5251356539916,16.3877603613905,-8.71817881413618
"bare.soil",18.1191954741083,11.0074359764572,-1.66498781552836
"wetland",19.783601758248,14.7483198884405,9.2246726192847
"urban",20.9503887508644,12.7377505499964,-2.9654685616055
"water",13.5129303617536,8.22034994381316,1.79895804133736
