"","RMSE","MAE","ME"
"Overall",22.7118126316296,14.154404378131,0.0000000000000000448513483589214
"cropland",21.2499310384115,14.7299636414404,6.5765796353144
"dec.trees",23.2680151758208,14.6032562170853,-3.53332660395637
"evgr.trees",23.0769853634318,14.7954179032975,-2.23562152523899
"shrubland",24.2907915582167,15.7904093881504,-0.986921525689672
"grassland",25.5747871326466,16.5291238296707,-7.71074372374422
"bare.soil",21.1237243673236,11.5988451363946,-3.59901010231515
"wetland",24.3873959105372,15.861918306828,10.4576434061339
"urban",24.9030212500957,15.8981076831854,0.97211490461948
"water",14.5499475969204,7.58259729712688,0.0592855348766772
