"","RMSE","MAE","ME"
"Overall",21.6394120433209,13.0442211542947,1.2868319684435e-18
"cropland",21.8762792179947,15.2238575027054,9.12635561392611
"dec.trees",22.790054978407,13.9735565636246,-3.36984332530705
"evgr.trees",21.1216264753968,13.2378726631989,-2.42864340453275
"shrubland",25.0191526151452,16.522446651576,1.0351945539588
"grassland",24.6473597632425,17.2222832055092,-5.67554999586161
"bare.soil",17.9497667465254,9.46512294136151,-2.59127338872556
"wetland",24.0474096771237,15.9717221573765,10.9577891092946
"urban",21.323738273724,11.0202562915069,-4.92235734400034
"water",13.4785713500329,4.76087241179321,-2.13167181875221
