"","RMSE","MAE","ME"
"Overall",21.0112321267559,11.8966833510408,6.21689556830392e-18
"cropland",22.5091952439285,12.5408431500964,-0.173476886420666
"dec.trees",20.8343843281772,12.3704810443298,0.581363986010702
"evgr.trees",20.7561890788002,12.0645481214987,-0.0867489938687699
"shrubland",23.5395247404119,13.9660204564911,0.191110569029014
"grassland",23.6309325642844,15.5528987030858,1.51090086555461
"bare.soil",19.9729970084412,10.6297587366888,-0.617275853438343
"wetland",22.9839058773116,13.1289528164933,-0.183294755490977
"urban",19.0673065570251,10.6201835339132,0.266992074341602
"water",14.0861327674865,6.1964635967702,-1.48957100571717
