"","RMSE","MAE","ME"
"Overall",20.7686646271108,11.725075271561,6.09547496389455e-18
"cropland",22.0139483659638,12.196277493996,-0.0787060509762282
"dec.trees",20.6682948693267,12.1099890516374,0.367628278740181
"evgr.trees",20.0447594395353,11.4519643973279,-0.208199404628349
"shrubland",23.6855171734347,14.2111052236576,0.436188942923506
"grassland",23.6379124702826,15.2126643351347,0.9105944061346
"bare.soil",19.4444952928359,10.3640365597825,-0.602143974157175
"wetland",22.9328893172432,13.452024604446,-0.00869283472613002
"urban",19.2912114037159,10.6059046738774,0.125184172518179
"water",13.1354817311106,5.92171110418909,-0.941853535828585
